# comb, run, Z, NCM, W, fPB, tidal
16, 10, 0.10, 10000, 5, 0.05, 0
17, 10, 0.10, 10000, 5, 0.10, 0
18, 10, 0.10, 10000, 5, 0.20, 0
19, 10, 0.10, 10000, 9, 0.05, 0
20, 10, 0.10, 10000, 9, 0.10, 0
21, 10, 0.10, 10000, 9, 0.20, 0
22, 10, 0.10, 50000, 5, 0.05, 0
23, 10, 0.10, 50000, 5, 0.10, 0
24, 10, 0.10, 50000, 5, 0.20, 0
25, 10, 0.10, 50000, 9, 0.05, 0
26, 10, 0.10, 50000, 9, 0.10, 0
27, 10, 0.10, 50000, 9, 0.20, 0
28, 10, 1.00, 10000, 5, 0.05, 0
29, 10, 1.00, 10000, 5, 0.10, 0
30, 10, 1.00, 10000, 5, 0.20, 0
31, 10, 1.00, 10000, 9, 0.05, 0
32, 10, 1.00, 10000, 9, 0.10, 0
33, 10, 1.00, 10000, 9, 0.20, 0
34, 10, 1.00, 50000, 5, 0.05, 0
35, 10, 1.00, 50000, 5, 0.10, 0
36, 10, 1.00, 50000, 5, 0.20, 0
37, 10, 1.00, 50000, 9, 0.05, 0
38, 10, 1.00, 50000, 9, 0.10, 0
39, 10, 1.00, 50000, 9, 0.20, 0
